Mach,Altitude,PowerCode,Thrust,RamDrag,FuelFlow,EINox,ThrustNet,TSFC,,,Mach,Altitude,PowerCode,,Thrust_Equation (lb),TSFC_Equation (lb/lb/hr)
0.35,0,30,61000.4,32699.9,11713,0.41388,28300.5,0.413879613,,,,,,,,
0.35,0,26,44983.3,28003,7627.6,0.4492,16980.3,0.4492029,,,,,,,,
0.35,0,24,37341,25454.7,5877.7,0.4945,11886.3,0.494493661,,,,,,,,
0.35,0,22,29268.3,22476.2,4241.7,0.62451,6792.1,0.62450494,,,,,,,,
0.35,0,21,24983.8,18265.2,2274.8,0.79874,6718.6,0.338582443,,,,,,,,
0,2000,50,110562.2,0,31494.3,0.28486,110562.2,0.284855945,,,,,,,,
0,2000,48,103191.4,0,28347.2,0.27471,103191.4,0.274705063,,,,,,,,
0,2000,46,95820.6,0,25951.3,0.27083,95820.6,0.270832159,,,,,,,,
0,2000,42,81079,0,21390.5,0.26382,81079,0.263822938,,,,,,,,
0,2000,38,66337.3,0,17255,0.26011,66337.3,0.260110074,,,,,,,,
0,2000,34,51595.7,0,13256.2,0.25692,51595.7,0.256924511,,,,,,,,
0,2000,30,36854.1,0,9282.3,0.25187,36854.1,0.251866142,,,,,,,,
0,2000,26,22112.4,0,5593.9,0.25297,22112.4,0.252975706,,,,,,,,
0,2000,24,15478.7,0,4148.5,0.26802,15478.7,0.268013464,,,,,,,,
0,2000,22,8845,0,2767.5,0.31289,8845,0.312888638,,,,,,,,
0,2000,21,5528.1,0,2153.7,0.38958,5528.1,0.389591361,,,,,,,,
0.1,2000,50,112619.3,12255.1,31751.5,0.31636,100364.2,0.316362807,,,,,,,,
0.1,2000,48,105565.1,11891.8,28683,0.3062,93673.3,0.306202514,,,,,,,,
0.1,2000,46,98465.8,11483.4,26342.9,0.30285,86982.4,0.302853221,,,,,,,,
0.1,2000,42,84198.5,10598.1,21889.7,0.29741,73600.4,0.297412786,,,,,,,,
0.1,2000,38,69844,9625.5,17789.7,0.29542,60218.5,0.295419182,,,,,,,,
0.1,2000,34,55386.8,8550.2,13840.4,0.2955,46836.6,0.295503943,,,,,,,,
0.1,2000,30,40781,7326.3,9908.7,0.29618,33454.7,0.296182599,,,,,,,,
0.1,2000,26,25904.3,5831.4,6127.7,0.30527,20072.9,0.305272283,,,,,,,,
0.1,2000,24,19050.5,4999.5,4607.7,0.32793,14051,0.327926838,,,,,,,,
0.1,2000,22,12000,3970.9,3135.6,0.39053,8029.1,0.390529449,,,,,,,,
0.1,2000,21,8328.4,2972.4,2108.7,0.48436,5356,0.393707991,,,,,,,,
0.2,2000,50,116132.8,24907.4,32073.6,0.35159,91225.4,0.351586291,,,,,,,,
0.2,2000,48,109363.2,24219.5,29140.9,0.34226,85143.7,0.342255505,,,,,,,,
0.2,2000,46,102511,23449,26819.9,0.33923,79062,0.339226177,,,,,,,,
0.2,2000,42,88678.8,21780.1,22441.7,0.33546,66898.7,0.335457939,,,,,,,,
0.2,2000,38,74671.5,19936.2,18349,0.33523,54735.3,0.33523156,,,,,,,,
0.2,2000,34,60469.4,17897.5,14401.9,0.3383,42571.9,0.338295918,,,,,,,,
0.2,2000,30,45988.4,15580,10502.4,0.34538,30408.4,0.345378251,,,,,,,,
0.2,2000,26,31018.9,12773.8,6655.3,0.36477,18245.1,0.364771911,,,,,,,,
0.2,2000,24,23999.6,11228.1,4991.7,0.39085,12771.5,0.390846807,,,,,,,,
0.2,2000,22,16646.9,9348.9,3417.4,0.46826,7298,0.468265278,,,,,,,,
0.2,2000,21,12742.6,7236.9,2111.7,0.5827,5505.7,0.383547959,,,,,,,,
0.25,2000,50,118906.5,31524.3,32325.6,0.36993,87382.2,0.369933465,,,,,,,,
0.25,2000,48,112241.2,30684.4,29460.8,0.36123,81556.8,0.361230455,,,,,,,,
0.25,2000,46,105478.6,29747.3,27148,0.35848,75731.3,0.358477934,,,,,,,,
0.25,2000,42,91808.8,27728.4,22760.7,0.35519,64080.4,0.35518973,,,,,,,,
0.25,2000,38,77910.8,25481.4,18667.3,0.35605,52429.4,0.356046417,,,,,,,,
0.25,2000,34,63780.3,23001.9,14688.8,0.36021,40778.4,0.360210307,,,,,,,,
0.25,2000,30,49319.9,20192.4,10715.3,0.36788,29127.5,0.367875719,,,,,,,,
0.25,2000,26,34282.2,16805.8,6795.4,0.38883,17476.4,0.38883294,,,,,,,,
0.25,2000,24,27177.6,14944.1,5125.8,0.419,12233.5,0.418997016,,,,,,,,
0.25,2000,22,19693.8,12703.2,3593.8,0.51409,6990.6,0.51409035,,,,,,,,
0.25,2000,21,15712.3,9975.5,2103.9,0.64409,5736.8,0.366737554,,,,,,,,
0.3,2000,50,122364.8,38407.5,32634.4,0.3887,83957.3,0.388702352,,,,,,,,
0.3,2000,48,115784.6,37424.5,29815.8,0.3805,78360.1,0.380497217,,,,,,,,
0.3,2000,46,109086.6,36323.6,27543.7,0.37854,72763,0.378539917,,,,,,,,
0.3,2000,42,95555.5,33986.8,23111.5,0.37538,61568.7,0.375377424,,,,,,,,
0.3,2000,38,81731.8,31357.4,19004.5,0.37727,50374.4,0.377265039,,,,,,,,
0.3,2000,34,67651.3,28471.3,14929.3,0.38104,39180,0.3810439,,,,,,,,
0.3,2000,30,53188.2,25202.4,10879.4,0.38875,27985.8,0.38874715,,,,,,,,
0.3,2000,26,38067,21275.6,6966.9,0.41491,16791.4,0.414908822,,,,,,,,
0.3,2000,24,30877.4,19123.4,5325.2,0.45305,11754,0.453054279,,,,,,,,
0.3,2000,22,23286.5,16569.9,3779.7,0.56274,6716.6,0.562740077,,,,,,,,
0.3,2000,21,19253.1,13209,2102.4,0.71122,6044.1,0.347843351,,,,,,,,
0.35,2000,50,126401.8,45589.4,32954.1,0.40778,80812.4,0.407785191,,,,,,,,
0.35,2000,48,119892.2,44467.3,30193.1,0.40031,75424.9,0.400306795,,,,,,,,
0.35,2000,46,113249.9,43212.5,27942.7,0.39897,70037.4,0.398968266,,,,,,,,
0.35,2000,38,86115.7,37628.3,19196.1,0.3959,48487.4,0.395898728,,,,,,,,
0.35,2000,34,72056.7,34344.2,15128.4,0.40115,37712.5,0.401150812,,,,,,,,
0.35,2000,30,57577.3,30639.8,11058.7,0.41053,26937.5,0.410531787,,,,,,,,
0.35,2000,26,42374.1,26211.7,7192.5,0.44501,16162.4,0.445014354,,,,,,,,
0.35,2000,24,35124.3,23810.6,5527.1,0.48853,11313.7,0.488531603,,,,,,,,
0.35,2000,22,27460.6,20995.6,3980.7,0.61574,6465,0.615730858,,,,,,,,
0.35,2000,21,23393.2,16960.7,2101.2,0.78627,6432.5,0.326653712,,,,,,,,
0.4,2000,50,116992.7,50271.8,27839.1,0.41725,66720.9,0.41724707,,,,,,,,
0.4,2000,48,111310.6,49037.9,25890.9,0.41577,62272.7,0.415766459,,,,,,,,
0.4,2000,46,105587.1,47762.4,23953.6,0.41425,57824.7,0.414245124,,,,,,,,
0.4,2000,42,93962.6,45034,20289.2,0.41467,48928.6,0.414669539,,,,,,,,
0.4,2000,38,82028.8,41996.4,16760.3,0.41867,40032.4,0.418668379,,,,,,,,
0.4,2000,34,69796.6,38660.2,13290.6,0.42685,31136.4,0.426850888,,,,,,,,
0.4,2000,30,57137.3,34897.1,9873.9,0.44397,22240.2,0.443966331,,,,,,,,
0.4,2000,26,43793.5,30449.3,6607.6,0.49517,13344.2,0.495166439,,,,,,,,
0.4,2000,24,37426.4,28085.5,5234.1,0.56034,9340.9,0.560342151,,,,,,,,
0.4,2000,22,30706.6,25368.9,3889.6,0.7287,5337.7,0.728703374,,,,,,,,
0.4,2000,21,27155.5,21126,2074.2,0.95719,6029.5,0.344008624,,,,,,,,
0,5000,50,101612.4,0,29089.6,0.28628,101612.4,0.286280021,,,,,,,,
0,5000,48,94838.2,0,26064.1,0.27483,94838.2,0.274827021,,,,,,,,
0,5000,46,88064.1,0,23710.7,0.26924,88064.1,0.269243653,,,,,,,,
0,5000,42,74515.8,0,19530.8,0.2621,74515.8,0.262102802,,,,,,,,
0,5000,38,60967.4,0,15744.9,0.25825,60967.4,0.258251131,,,,,,,,
0,5000,34,47419.1,0,12096.7,0.2551,47419.1,0.255101847,,,,,,,,
0,5000,30,33870.8,0,8479.3,0.25034,33870.8,0.250342478,,,,,,,,
0,5000,26,20322.5,0,5098.9,0.2509,20322.5,0.25089925,,,,,,,,
0,5000,24,14225.7,0,3777.4,0.26553,14225.7,0.265533506,,,,,,,,
0,5000,22,8129,0,2514.9,0.30937,8129,0.309373847,,,,,,,,
0,5000,21,5080.6,0,1952.5,0.3843,5080.6,0.384305003,,,,,,,,
0.1,5000,50,103476.1,11105.1,29315.1,0.31736,92371,0.317362592,,,,,,,,
0.1,5000,48,96995,10782.1,26385.3,0.30605,86212.9,0.306048167,,,,,,,,
0.1,5000,46,90473.7,10418.9,24078.6,0.30078,80054.8,0.300776468,,,,,,,,
0.1,5000,42,77356.5,9617.7,19993.1,0.29515,67738.8,0.295149899,,,,,,,,
0.1,5000,38,64156.8,8734.2,16220.2,0.29266,55422.6,0.292664003,,,,,,,,
0.1,5000,34,50861.7,7755.3,12631.3,0.29303,43106.4,0.293026094,,,,,,,,
0.1,5000,30,37433.6,6643.2,9045,0.29376,30790.4,0.293760393,,,,,,,,
0.1,5000,26,23759.5,5285.4,5590.4,0.30261,18474.1,0.302607434,,,,,,,,
0.1,5000,24,17461.8,4529.8,4188.7,0.32391,12932,0.323901949,,,,,,,,
0.1,5000,22,10985.3,3595.7,2847.6,0.38535,7389.6,0.385352387,,,,,,,,
0.1,5000,21,7613.6,2660.4,1889.8,0.47789,4953.2,0.381531131,,,,,,,,
0.2,5000,50,106677.8,22567.5,29626.7,0.35224,84110.3,0.35223629,,,,,,,,
0.2,5000,48,100464.4,21961.4,26768.1,0.34098,78503,0.340981873,,,,,,,,
0.2,5000,46,94168.3,21272.7,24529.3,0.3365,72895.6,0.336499048,,,,,,,,
0.2,5000,42,81443,19762.1,20512.1,0.33255,61680.9,0.332551892,,,,,,,,
